iter	RMSE
0	0.05091727707
1	0.05077888721
2	0.05064398199
3	0.05050921262
4	0.05037549254
5	0.05024241471
6	0.05010963636
7	0.04997930887
8	0.04984887843
9	0.04972022692
10	0.04959260062
11	0.04946588218
12	0.04933884248
13	0.04921385119
14	0.04908907109
15	0.04896492188
16	0.0488422776
17	0.04872043739
18	0.0485986028
19	0.04847714295
20	0.04835643582
21	0.04823729158
22	0.04811925552
23	0.0480013516
24	0.04788436717
25	0.04776874502
26	0.04765296347
27	0.04753846925
28	0.04742508026
29	0.04731192839
30	0.04719977744
31	0.04708740592
32	0.04697638764
33	0.04686693304
34	0.04675735614
35	0.04664767907
36	0.04653933361
37	0.04643148721
38	0.04632410429
39	0.04621805809
40	0.04611339744
41	0.04600822075
42	0.04590338989
43	0.04579976969
44	0.04569672424
45	0.04559423231
46	0.04549182331
47	0.04539117409
48	0.04529141562
49	0.04519155139
50	0.0450922671
51	0.04499315501
52	0.04489544403
53	0.0447970166
54	0.04470006914
55	0.04460384738
56	0.04450802666
57	0.04441289572
58	0.04431778968
59	0.04422447713
60	0.04412957392
61	0.04403692553
62	0.04394441963
63	0.04385268163
64	0.04376036958
65	0.04366861217
66	0.04357813717
67	0.04348802943
68	0.04339860423
69	0.04330908009
70	0.04322083597
71	0.04313233251
72	0.04304421175
73	0.0429577122
74	0.04287100315
75	0.04278499691
76	0.04269902833
77	0.04261330223
78	0.04252785553
79	0.04244354726
80	0.04235945581
81	0.04227576072
82	0.04219231421
83	0.04210881166
84	0.04202590926
85	0.04194368799
86	0.04186212269
87	0.04177987214
88	0.04169888449
89	0.04161802067
90	0.04153786522
91	0.04145785236
92	0.04137819357
93	0.04129916658
94	0.0412209509
95	0.04114256864
96	0.04106418913
97	0.04098688982
98	0.04090891482
99	0.04083160507
100	0.04075479471
101	0.04067781623
102	0.04060179355
103	0.04052579187
104	0.04045058501
105	0.04037562696
106	0.04030053952
107	0.04022610391
108	0.04015248996
109	0.04007826609
110	0.04000470078
111	0.03993202246
112	0.03985900791
113	0.03978658048
114	0.03971430536
115	0.03964233039
116	0.03957078634
117	0.03949967734
118	0.03942811782
119	0.03935749305
120	0.0392865376
121	0.03921646286
122	0.03914632355
123	0.03907664214
124	0.03900745105
125	0.03893856957
126	0.03887061841
127	0.03880215758
128	0.03873367946
129	0.0386658863
130	0.03859883606
131	0.03853214562
132	0.03846497028
133	0.03839829295
134	0.03833164836
135	0.03826563496
136	0.03819988452
137	0.03813490881
138	0.03806985908
139	0.03800483781
140	0.03794006989
141	0.03787593896
142	0.03781226773
143	0.03774918519
144	0.03768587451
145	0.0376228823
146	0.03755938615
147	0.03749689158
148	0.03743491226
149	0.03737258119
150	0.03731112446
151	0.03725009635
152	0.03718869022
153	0.03712743088
154	0.03706668805
155	0.0370061932
156	0.03694601041
157	0.03688674613
158	0.03682705877
159	0.03676766879
160	0.03670874525
161	0.03665006754
162	0.03659130874
163	0.03653323685
164	0.03647498
165	0.03641700593
166	0.03635936823
167	0.03630207604
168	0.03624552999
169	0.03618875046
170	0.03613205911
171	0.03607619541
172	0.03601998351
173	0.03596462427
174	0.03590949089
175	0.0358540002
176	0.03579920911
177	0.03574466227
178	0.03569007902
179	0.03563599743
180	0.03558188538
181	0.03552828508
182	0.03547458806
183	0.03542167241
184	0.03536875253
185	0.03531622127
186	0.03526491433
187	0.03521329969
188	0.03516116691
189	0.03511033423
190	0.03505914957
191	0.03500827667
192	0.03495756837
193	0.03490656774
194	0.03485582206
195	0.03480561494
196	0.03475583725
197	0.03470570417
198	0.03465541582
199	0.03460643363
200	0.03455734205
201	0.03450899435
202	0.03446057905
203	0.03441262713
204	0.03436426169
205	0.03431658524
206	0.03426908579
207	0.03422156663
208	0.03417405401
209	0.03412655245
210	0.03407953057
211	0.03403257431
212	0.03398635151
213	0.03393991739
214	0.03389384149
215	0.03384872736
216	0.03380280713
217	0.0337571195
218	0.03371193383
219	0.03366703122
