iter	Passed	Remaining
399	107605	26901
400	107835	26622
401	108176	26371
402	108468	26107
403	108694	25828
404	108915	25548
405	109087	25256
406	109253	24964
407	109441	24677
408	109647	24395
409	109872	24118
410	110093	23840
411	110479	23597
412	110797	23339
413	111045	23067
414	111206	22777
415	111400	22494
416	111535	22200
417	111672	21906
418	111938	21639
419	112226	21376
420	112439	21099
421	112629	20817
422	112853	20543
423	113134	20278
424	113314	19996
425	113438	19705
426	113911	19474
427	114138	19200
428	114434	18938
429	114608	18657
430	114792	18377
431	115050	18109
432	115242	17831
433	115460	17558
434	115640	17279
435	115789	16996
436	115994	16722
437	116161	16442
438	116347	16166
439	116652	15907
440	116827	15629
441	117054	15360
442	117260	15087
443	117496	14819
444	117786	14557
445	118100	14299
446	118394	14037
447	118626	13769
448	118916	13507
449	119061	13229
450	119496	12983
451	119854	12727
452	120085	12459
453	120338	12192
454	120532	11920
455	120736	11650
456	120972	11382
457	121180	11112
458	121376	10841
459	121599	10573
460	121465	123678461	12466	124147	8772
467	124492	8512
468	124916	8256
469	125245	7994
470	125511	7727
471	125736	7458
472	126121	7199
473	126328	6929
474	126565	6661
475	126878	6397
476	127063	6126
477	127243	5856
478	127406	5585
479	127628	5317
480	127803	5048
481	128021	4780
482	128228	4513
483	128487	4247
484	128725	3981
485	128980	3715
486	129219	3449
487	129531	3185
488	129766	2919
489	129951	2652
490	130157	2385
491	130383	2120
492	130565	1853
493	130781	1588
494	130958	1322
495	131120	1057
496	131285	792
497	131501	528
498	131782	264
499	131972	0

495	128826	1038
496	129034	778
497	129186	518
498	129320	259
499	129814	0
